KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"Health Insurance Coverage of the Total Population, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employer,49%,47%,48%,44%,42%,47%,52%,54%,50%,53%,40%,49%,55%,47%,54%,54%,54%,55%,47%,42%,48%,56%,55%,51%,57%,43%,52%,44%,55%,48%,57%,57%,37%,49%,47%,57%,52%,46%,48%,52%,52%,45%,52%,47%,47%,61%,49%,54%,52%,44%,57%,55%
Non-Group,6%,5%,4%,5%,6%,7%,7%,5%,5%,7%,10%,6%,5%,9%,6%,5%,5%,6%,4%,5%,6%,5%,6%,5%,6%,5%,6%,7%,7%,5%,5%,6%,4%,6%,6%,8%,5%,6%,7%,5%,5%,6%,8%,6%,6%,9%,6%,6%,6%,3%,5%,7%
Medicaid,20%,20%,21%,22%,27%,26%,18%,21%,21%,28%,18%,17%,17%,17%,19%,19%,18%,14%,26%,29%,18%,19%,23%,22%,18%,23%,15%,21%,13%,19%,14%,17%,33%,26%,18%,12%,21%,18%,22%,20%,23%,19%,13%,21%,17%,10%,23%,12%,21%,26%,17%,10%
Medicare,14%,16%,9%,16%,16%,11%,12%,14%,17%,8%,17%,12%,15%,15%,13%,15%,15%,14%,15%,13%,17%,13%,13%,15%,14%,14%,16%,17%,14%,14%,17%,13%,15%,13%,15%,13%,15%,15%,16%,16%,14%,16%,15%,15%,10%,10%,16%,14%,13%,19%,15%,15%
Military,1%,2%,5%,1%,1%,1%,2%,1%,1%,1%,2%,2%,5%,2%,1%,1%,1%,2%,2%,2%,2%,2%,1%,1%,1%,2%,1%,2%,2%,2%,1%,<.01,2%,<.01,3%,2%,1%,2%,1%,1%,1%,2%,2%,2%,2%,1%,1%,4%,2%,1%,1%,2%
Uninsured,9%,10%,12%,11%,8%,7%,8%,5%,6%,3%,13%,14%,4%,11%,7%,5%,8%,9%,6%,8%,8%,6%,3%,5%,4%,12%,9%,8%,8%,11%,5%,7%,9%,5%,11%,8%,6%,14%,7%,6%,4%,10%,9%,10%,18%,9%,4%,9%,7%,6%,6%,11%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
"Health Insurance Coverage of the Total Population, Multiple Sources of Coverage, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employer Only,49%,47%,48%,44%,42%,47%,52%,54%,50%,53%,40%,49%,55%,47%,54%,54%,54%,55%,47%,42%,48%,56%,55%,51%,57%,43%,52%,44%,55%,48%,57%,57%,37%,49%,47%,57%,52%,46%,48%,52%,52%,45%,52%,47%,47%,61%,49%,54%,52%,44%,57%,55%
Non-group Only,6%,5%,4%,5%,6%,7%,7%,5%,5%,7%,10%,6%,5%,9%,6%,5%,5%,6%,4%,5%,6%,5%,6%,5%,6%,5%,6%,7%,7%,5%,5%,6%,4%,6%,6%,8%,5%,6%,7%,5%,5%,6%,8%,6%,6%,9%,6%,6%,6%,3%,5%,7%
Medicaid and Private Insurance,2%,2%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,3%,2%,2%,2%,3%,2%,2%,3%,2%,2%,2%,2%,2%,2%,2%,1%,2%,3%,3%,2%,2%,2%,2%,2%,3%,2%,2%,2%,2%,1%,2%,2%,1%,2%,2%,2%,1%
Medicaid and Medicare,3%,4%,3%,3%,5%,4%,2%,3%,3%,4%,4%,3%,3%,3%,3%,3%,3%,3%,4%,4%,6%,3%,4%,4%,2%,5%,3%,3%,3%,3%,2%,3%,5%,5%,3%,3%,3%,3%,3%,3%,5%,4%,3%,4%,3%,2%,4%,2%,3%,5%,3%,2%
Medicaid Only,15%,14%,15%,17%,20%,20%,14%,15%,16%,21%,12%,12%,13%,11%,15%,14%,13%,10%,20%,23%,10%,14%,16%,16%,14%,17%,10%,16%,9%,14%,10%,12%,25%,19%,13%,7%,16%,13%,16%,14%,16%,14%,9%,15%,13%,7%,17%,9%,16%,19%,11%,7%
Medicare and Private Insurance,8%,9%,6%,8%,8%,6%,7%,8%,11%,5%,9%,7%,10%,9%,8%,10%,8%,9%,9%,7%,10%,9%,8%,11%,10%,7%,9%,11%,8%,7%,10%,8%,8%,8%,9%,9%,9%,9%,9%,10%,8%,10%,8%,8%,5%,6%,9%,9%,8%,11%,9%,9%
Medicare Only,6%,6%,4%,7%,7%,5%,5%,6%,6%,3%,9%,6%,4%,5%,6%,5%,6%,5%,6%,7%,7%,4%,4%,5%,4%,7%,7%,7%,6%,7%,7%,5%,7%,5%,6%,4%,7%,6%,6%,6%,6%,7%,6%,7%,5%,4%,7%,5%,5%,8%,6%,6%
Military,1%,2%,5%,1%,1%,1%,2%,1%,1%,1%,2%,2%,5%,2%,1%,1%,1%,2%,2%,2%,2%,2%,1%,1%,1%,2%,1%,2%,2%,2%,1%,<.01,2%,<.01,3%,2%,1%,2%,1%,1%,1%,2%,2%,2%,2%,1%,1%,4%,2%,1%,1%,2%
Uninsured,9%,10%,12%,11%,8%,7%,8%,5%,6%,3%,13%,14%,4%,11%,7%,5%,8%,9%,6%,8%,8%,6%,3%,5%,4%,12%,9%,8%,8%,11%,5%,7%,9%,5%,11%,8%,6%,14%,7%,6%,4%,10%,9%,10%,18%,9%,4%,9%,7%,6%,6%,11%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
"Nonelderly Uninsured by Federal Poverty Level (FPL), 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 100%,23%,34%,18%,21%,27%,19%,15%,17%,22%,25%,21%,26%,21%,17%,20%,23%,22%,28%,24%,26%,21%,17%,17%,22%,22%,34%,26%,18%,28%,20%,12%,19%,26%,19%,27%,23%,23%,27%,20%,20%,19%,26%,30%,29%,25%,19%,16%,23%,18%,30%,19%,23%
100%-199%,28%,29%,25%,30%,30%,27%,27%,26%,18%,25%,28%,30%,20%,32%,29%,25%,30%,31%,30%,29%,29%,24%,23%,28%,23%,30%,29%,33%,29%,27%,21%,27%,30%,25%,30%,27%,28%,28%,27%,27%,20%,31%,31%,29%,30%,31%,21%,28%,22%,23%,25%,24%
200-399%,32%,26%,33%,33%,30%,34%,37%,31%,37%,26%,35%,29%,32%,38%,34%,38%,33%,29%,32%,27%,30%,36%,32%,34%,35%,24%,32%,33%,29%,35%,41%,32%,32%,33%,31%,32%,33%,33%,35%,34%,39%,30%,28%,30%,31%,33%,41%,32%,39%,33%,36%,32%
400%+,16%,11%,24%,15%,13%,20%,21%,26%,24%,24%,16%,15%,28%,13%,17%,14%,15%,12%,13%,18%,19%,23%,28%,16%,20%,11%,13%,17%,14%,17%,26%,22%,12%,23%,12%,18%,15%,12%,18%,19%,21%,13%,11%,13%,14%,18%,22%,17%,21%,14%,19%,20%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
"Uninsured Rates for the Nonelderly by Federal Poverty Level (FPL), 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 100%,17%,23%,22%,18%,14%,12%,13%,10%,11%,5%,25%,28%,10%,18%,13%,11%,15%,22%,9%,12%,18%,13%,5%,9%,11%,23%,21%,14%,23%,19%,10%,17%,13%,9%,23%,20%,12%,26%,13%,10%,7%,20%,24%,21%,32%,21%,7%,21%,12%,11%,11%,25%
100-199%,17%,19%,24%,19%,13%,13%,16%,13%,8%,8%,23%,25%,7%,19%,15%,10%,17%,18%,11%,13%,18%,14%,6%,10%,9%,21%,18%,16%,17%,19%,11%,19%,15%,10%,20%,18%,13%,22%,14%,12%,7%,20%,21%,18%,31%,18%,7%,21%,12%,9%,11%,20%
200-399%,12%,10%,15%,14%,9%,10%,11%,8%,9%,5%,17%,16%,5%,14%,10%,7%,10%,9%,7%,9%,10%,10%,5%,7%,6%,11%,11%,10%,9%,14%,9%,12%,12%,8%,13%,9%,9%,16%,10%,8%,7%,12%,9%,11%,21%,9%,6%,12%,10%,8%,7%,13%
400%+,4%,4%,7%,6%,5%,4%,4%,3%,4%,2%,8%,6%,3%,6%,3%,2%,4%,3%,3%,5%,5%,3%,2%,3%,2%,6%,4%,5%,4%,7%,3%,3%,5%,3%,5%,4%,3%,7%,4%,3%,2%,5%,4%,5%,8%,5%,3%,4%,4%,4%,3%,6%
Total,10%,12%,14%,13%,10%,8%,9%,6%,7%,4%,16%,16%,5%,13%,8%,6%,10%,10%,7%,9%,10%,7%,3%,6%,5%,15%,11%,10%,10%,13%,6%,9%,11%,6%,13%,9%,8%,16%,9%,7%,5%,13%,11%,12%,20%,10%,5%,10%,8%,8%,7%,13%
"Status of State Action on the Medicaid Expansion Decision, July 1, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status of Medicaid Expansion Decision,Adopted-38 states (incl. DC); Not Adopted-13 states,Not Adopted ,Adopted,Adopted,Adopted,Adopted,Adopted ,Adopted ,Adopted ,Adopted ,Not Adopted ,Not Adopted ,Adopted ,Adopted ,Adopted ,Adopted ,Adopted ,Not Adopted ,Adopted ,Adopted ,Adopted,Adopted ,Adopted ,Adopted ,Adopted ,Not Adopted ,Not Adopted ,Adopted ,Adopted ,Adopted ,Adopted ,Adopted ,Adopted ,Adopted ,Not Adopted ,Adopted ,Adopted ,Adopted ,Adopted ,Adopted ,Adopted ,Not Adopted ,Not Adopted ,Not Adopted ,Not Adopted ,Adopted,Adopted ,Adopted,Adopted ,Adopted,Not Adopted ,Not Adopted 
"Confirmed COVID-19 Cases and Deaths, as of 7/15/2020 at 10:34 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of COVID-19 Cases,"3,434,636","57,255","1,579","128,097","29,812","346,446","37,668","47,530","13,050","11,026","291,629","123,963","1,264","11,720","156,638","36,036","52,685","20,056","20,223","82,042","3,566","75,016","112,130","77,864","43,170","37,542","29,400","1,952","21,717","29,619","6,091","175,915","15,514","403,175","90,000","4,565","67,995","21,739","12,805","101,266","17,588","60,389","7,572","66,788","279,577","30,478","1,305","73,527","42,304","4,407","37,906","1,950"
"COVID-19 Cases per 1,000,000 Population","10,464","11,677","2,158","17,599","9,879","8,768","6,541","13,331","13,402","15,623","13,578","11,675",893,"6,558","12,361","11,422","7,826","6,884","4,527","17,648","2,653","12,408","16,268","7,797","7,655","12,614","4,790","1,826","11,227","9,616","4,480","19,805","7,399","20,725","8,581","5,990","5,817","5,494","3,036","7,910","16,602","11,729","8,559","9,780","9,642","9,507","2,091","8,614","5,555","2,459","6,510","3,369"
Deaths from COVID-19,"136,493","1,164",17,"2,337",331,"7,243","1,738","4,372",521,571,"4,409","3,054",22,103,"7,419",759,"2,775",300,635,"3,445",114,"3,341","8,340","6,326","1,548","1,272","1,115",34,286,612,392,"15,582",551,"32,408","1,571",88,"3,069",428,244,"6,931",985,993,109,767,"3,362",226,56,"1,992","1,404",97,826,22
"COVID-19 Deaths per 1,000,000 Population",416,237,23,321,110,183,302,"1,226",535,809,205,288,16,58,585,241,412,103,142,741,85,553,"1,210",633,274,427,182,32,148,199,288,"1,754",263,"1,666",150,115,263,108,58,541,930,193,123,112,116,70,90,233,184,54,142,38
COVID-19 Fatality Rate,4%,2%,1%,2%,1%,2%,5%,9%,4%,5%,2%,2%,2%,1%,5%,2%,5%,1%,3%,4%,3%,4%,7%,8%,4%,3%,4%,2%,1%,2%,6%,9%,4%,8%,2%,2%,5%,2%,2%,7%,6%,2%,1%,1%,1%,1%,4%,3%,3%,2%,2%,1%
"COVID-19 Testing, as of 7/15/2020 at 11:30AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
